"kind","scenario","n","effect","method","rejection_rate","R","mc_error","B","alpha","target_R","completed","noise_sd","scenario_label"
"circular_linear","L0_independent",100,0.3,"HSIC circular-linear",0.042,500,0.008970618708,499,0.05,500,"true",0.3,"Independent"
"circular_linear","L0_independent",100,0.5,"HSIC circular-linear",0.042,500,0.008970618708,499,0.05,500,"true",0.5,"Independent"
"circular_linear","L0_independent",100,0.7,"HSIC circular-linear",0.042,500,0.008970618708,499,0.05,500,"true",0.7,"Independent"
"circular_linear","L0_independent",100,1,"HSIC circular-linear",0.042,500,0.008970618708,499,0.05,500,"true",1,"Independent"
"circular_linear","L0_independent",200,0.3,"HSIC circular-linear",0.062,500,0.01078480412,499,0.05,500,"true",0.3,"Independent"
"circular_linear","L0_independent",200,0.5,"HSIC circular-linear",0.062,500,0.01078480412,499,0.05,500,"true",0.5,"Independent"
"circular_linear","L0_independent",200,0.7,"HSIC circular-linear",0.06,500,0.01062073444,499,0.05,500,"true",0.7,"Independent"
"circular_linear","L0_independent",200,1,"HSIC circular-linear",0.06,500,0.01062073444,499,0.05,500,"true",1,"Independent"
"circular_linear","L0_independent",50,0.3,"HSIC circular-linear",0.046,500,0.009368457717,499,0.05,500,"true",0.3,"Independent"
"circular_linear","L0_independent",50,0.5,"HSIC circular-linear",0.046,500,0.009368457717,499,0.05,500,"true",0.5,"Independent"
"circular_linear","L0_independent",50,0.7,"HSIC circular-linear",0.048,500,0.009559916318,499,0.05,500,"true",0.7,"Independent"
"circular_linear","L0_independent",50,1,"HSIC circular-linear",0.048,500,0.009559916318,499,0.05,500,"true",1,"Independent"
"circular_linear","L1_cos",100,0.3,"HSIC circular-linear",1,500,0,499,0.05,500,"true",0.3,"Cosine mean"
"circular_linear","L1_cos",100,0.5,"HSIC circular-linear",1,500,0,499,0.05,500,"true",0.5,"Cosine mean"
"circular_linear","L1_cos",100,0.7,"HSIC circular-linear",1,500,0,499,0.05,500,"true",0.7,"Cosine mean"
"circular_linear","L1_cos",100,1,"HSIC circular-linear",1,500,0,499,0.05,500,"true",1,"Cosine mean"
"circular_linear","L1_cos",200,0.3,"HSIC circular-linear",1,500,0,499,0.05,500,"true",0.3,"Cosine mean"
"circular_linear","L1_cos",200,0.5,"HSIC circular-linear",1,500,0,499,0.05,500,"true",0.5,"Cosine mean"
"circular_linear","L1_cos",200,0.7,"HSIC circular-linear",1,500,0,499,0.05,500,"true",0.7,"Cosine mean"
"circular_linear","L1_cos",200,1,"HSIC circular-linear",1,500,0,499,0.05,500,"true",1,"Cosine mean"
"circular_linear","L1_cos",50,0.3,"HSIC circular-linear",1,500,0,499,0.05,500,"true",0.3,"Cosine mean"
"circular_linear","L1_cos",50,0.5,"HSIC circular-linear",1,500,0,499,0.05,500,"true",0.5,"Cosine mean"
"circular_linear","L1_cos",50,0.7,"HSIC circular-linear",1,500,0,499,0.05,500,"true",0.7,"Cosine mean"
"circular_linear","L1_cos",50,1,"HSIC circular-linear",0.962,500,0.008550555538,499,0.05,500,"true",1,"Cosine mean"
"circular_linear","L2_cos2",100,0.3,"HSIC circular-linear",1,500,0,499,0.05,500,"true",0.3,"Second harmonic"
"circular_linear","L2_cos2",100,0.5,"HSIC circular-linear",0.85,500,0.01596871942,499,0.05,500,"true",0.5,"Second harmonic"
"circular_linear","L2_cos2",100,0.7,"HSIC circular-linear",0.496,500,0.02235996422,499,0.05,500,"true",0.7,"Second harmonic"
"circular_linear","L2_cos2",100,1,"HSIC circular-linear",0.22,500,0.01852565788,499,0.05,500,"true",1,"Second harmonic"
"circular_linear","L2_cos2",200,0.3,"HSIC circular-linear",1,500,0,499,0.05,500,"true",0.3,"Second harmonic"
"circular_linear","L2_cos2",200,0.5,"HSIC circular-linear",1,500,0,499,0.05,500,"true",0.5,"Second harmonic"
"circular_linear","L2_cos2",200,0.7,"HSIC circular-linear",1,500,0,499,0.05,500,"true",0.7,"Second harmonic"
"circular_linear","L2_cos2",200,1,"HSIC circular-linear",0.674,500,0.02096301505,499,0.05,500,"true",1,"Second harmonic"
"circular_linear","L2_cos2",50,0.3,"HSIC circular-linear",0.42,500,0.02207260746,499,0.05,500,"true",0.3,"Second harmonic"
"circular_linear","L2_cos2",50,0.5,"HSIC circular-linear",0.28,500,0.02007984064,499,0.05,500,"true",0.5,"Second harmonic"
"circular_linear","L2_cos2",50,0.7,"HSIC circular-linear",0.204,500,0.01802132071,499,0.05,500,"true",0.7,"Second harmonic"
"circular_linear","L2_cos2",50,1,"HSIC circular-linear",0.148,500,0.01588055415,499,0.05,500,"true",1,"Second harmonic"
"circular_linear","L3_multivariate",100,0.3,"HSIC circular-linear",1,500,0,499,0.05,500,"true",0.3,"Multivariate"
"circular_linear","L3_multivariate",100,0.5,"HSIC circular-linear",1,500,0,499,0.05,500,"true",0.5,"Multivariate"
"circular_linear","L3_multivariate",100,0.7,"HSIC circular-linear",1,500,0,499,0.05,500,"true",0.7,"Multivariate"
"circular_linear","L3_multivariate",100,1,"HSIC circular-linear",1,500,0,499,0.05,500,"true",1,"Multivariate"
"circular_linear","L3_multivariate",200,0.3,"HSIC circular-linear",1,500,0,499,0.05,500,"true",0.3,"Multivariate"
"circular_linear","L3_multivariate",200,0.5,"HSIC circular-linear",1,500,0,499,0.05,500,"true",0.5,"Multivariate"
"circular_linear","L3_multivariate",200,0.7,"HSIC circular-linear",1,500,0,499,0.05,500,"true",0.7,"Multivariate"
"circular_linear","L3_multivariate",200,1,"HSIC circular-linear",1,500,0,499,0.05,500,"true",1,"Multivariate"
"circular_linear","L3_multivariate",50,0.3,"HSIC circular-linear",1,500,0,499,0.05,500,"true",0.3,"Multivariate"
"circular_linear","L3_multivariate",50,0.5,"HSIC circular-linear",1,500,0,499,0.05,500,"true",0.5,"Multivariate"
"circular_linear","L3_multivariate",50,0.7,"HSIC circular-linear",1,500,0,499,0.05,500,"true",0.7,"Multivariate"
"circular_linear","L3_multivariate",50,1,"HSIC circular-linear",1,500,0,499,0.05,500,"true",1,"Multivariate"
"circular_linear","L4_local",100,0.3,"HSIC circular-linear",1,500,0,499,0.05,500,"true",0.3,"Local arc"
"circular_linear","L4_local",100,0.5,"HSIC circular-linear",1,500,0,499,0.05,500,"true",0.5,"Local arc"
"circular_linear","L4_local",100,0.7,"HSIC circular-linear",0.998,500,0.001997998999,499,0.05,500,"true",0.7,"Local arc"
"circular_linear","L4_local",100,1,"HSIC circular-linear",0.948,500,0.009929350432,499,0.05,500,"true",1,"Local arc"
"circular_linear","L4_local",200,0.3,"HSIC circular-linear",1,500,0,499,0.05,500,"true",0.3,"Local arc"
"circular_linear","L4_local",200,0.5,"HSIC circular-linear",1,500,0,499,0.05,500,"true",0.5,"Local arc"
"circular_linear","L4_local",200,0.7,"HSIC circular-linear",1,500,0,499,0.05,500,"true",0.7,"Local arc"
"circular_linear","L4_local",200,1,"HSIC circular-linear",1,500,0,499,0.05,500,"true",1,"Local arc"
"circular_linear","L4_local",50,0.3,"HSIC circular-linear",0.994,500,0.003453693675,499,0.05,500,"true",0.3,"Local arc"
"circular_linear","L4_local",50,0.5,"HSIC circular-linear",0.986,500,0.005254331546,499,0.05,500,"true",0.5,"Local arc"
"circular_linear","L4_local",50,0.7,"HSIC circular-linear",0.924,500,0.0118510759,499,0.05,500,"true",0.7,"Local arc"
"circular_linear","L4_local",50,1,"HSIC circular-linear",0.682,500,0.02082671361,499,0.05,500,"true",1,"Local arc"
