method,statistic,p.value,retained_grid_points,kind,scenario,n,effect,repetition,B,seed
HSIC fixed,0.127192494673277,0.98,NA,null,N1_uniform_uniform,100,0,1,499,20460616
HSIC median,0.000803731582655226,0.894,NA,null,N1_uniform_uniform,100,0,1,499,20460616
HSIC standardized multi-scale,-1.72333893889636,0.994,7,null,N1_uniform_uniform,100,0,1,499,20460616
naive Euclidean-angle HSIC anti-example,0.000598761929181002,0.884,NA,null,N1_uniform_uniform,100,0,1,499,20460616
first-order trigonometric moment diagnostic,0.0156876494288807,0.842,NA,null,N1_uniform_uniform,100,0,1,499,20460616
HSIC fixed,0.222048113234692,0.584,NA,null,N1_uniform_uniform,100,0,2,499,20460626
HSIC median,0.00255842103526924,0.312,NA,null,N1_uniform_uniform,100,0,2,499,20460626
HSIC standardized multi-scale,0.204053779980284,0.536,6,null,N1_uniform_uniform,100,0,2,499,20460626
naive Euclidean-angle HSIC anti-example,0.00184415439675083,0.386,NA,null,N1_uniform_uniform,100,0,2,499,20460626
first-order trigonometric moment diagnostic,0.0511961999836796,0.264,NA,null,N1_uniform_uniform,100,0,2,499,20460626
HSIC fixed,0.311735865065993,0.24,NA,null,N1_uniform_uniform,100,0,3,499,20460636
HSIC median,0.00347399585738794,0.084,NA,null,N1_uniform_uniform,100,0,3,499,20460636
HSIC standardized multi-scale,0.988159816617434,0.272,7,null,N1_uniform_uniform,100,0,3,499,20460636
naive Euclidean-angle HSIC anti-example,0.00535052103156157,0.02,NA,null,N1_uniform_uniform,100,0,3,499,20460636
first-order trigonometric moment diagnostic,0.0876927000162769,0.08,NA,null,N1_uniform_uniform,100,0,3,499,20460636
HSIC fixed,0.25057197447964,0.466,NA,null,N1_uniform_uniform,100,0,4,499,20460646
HSIC median,0.00166424368707531,0.578,NA,null,N1_uniform_uniform,100,0,4,499,20460646
HSIC standardized multi-scale,0.665982905299762,0.388,7,null,N1_uniform_uniform,100,0,4,499,20460646
naive Euclidean-angle HSIC anti-example,0.00143176594991417,0.526,NA,null,N1_uniform_uniform,100,0,4,499,20460646
first-order trigonometric moment diagnostic,0.0266833871589396,0.652,NA,null,N1_uniform_uniform,100,0,4,499,20460646
HSIC fixed,0.207952253171094,0.742,NA,null,N1_uniform_uniform,100,0,5,499,20460656
HSIC median,0.00160970180755626,0.592,NA,null,N1_uniform_uniform,100,0,5,499,20460656
HSIC standardized multi-scale,0.467690974425924,0.486,7,null,N1_uniform_uniform,100,0,5,499,20460656
naive Euclidean-angle HSIC anti-example,0.00192004050581066,0.388,NA,null,N1_uniform_uniform,100,0,5,499,20460656
first-order trigonometric moment diagnostic,0.0324696021958438,0.544,NA,null,N1_uniform_uniform,100,0,5,499,20460656
HSIC fixed,0.227923543527745,0.622,NA,null,N1_uniform_uniform,100,0,6,499,20460666
HSIC median,0.00117058907761143,0.75,NA,null,N1_uniform_uniform,100,0,6,499,20460666
HSIC standardized multi-scale,0.885488078512452,0.336,6,null,N1_uniform_uniform,100,0,6,499,20460666
naive Euclidean-angle HSIC anti-example,0.00116879999659811,0.614,NA,null,N1_uniform_uniform,100,0,6,499,20460666
first-order trigonometric moment diagnostic,0.0170821989604131,0.812,NA,null,N1_uniform_uniform,100,0,6,499,20460666
HSIC fixed,0.246471535643897,0.544,NA,null,N1_uniform_uniform,100,0,7,499,20460676
HSIC median,0.00193765571480477,0.47,NA,null,N1_uniform_uniform,100,0,7,499,20460676
HSIC standardized multi-scale,-0.420413053600619,0.826,7,null,N1_uniform_uniform,100,0,7,499,20460676
naive Euclidean-angle HSIC anti-example,0.00151718686742979,0.548,NA,null,N1_uniform_uniform,100,0,7,499,20460676
first-order trigonometric moment diagnostic,0.0385525578499816,0.422,NA,null,N1_uniform_uniform,100,0,7,499,20460676
HSIC fixed,0.21767907355402,0.668,NA,null,N1_uniform_uniform,100,0,8,499,20460686
HSIC median,0.00229325953335043,0.34,NA,null,N1_uniform_uniform,100,0,8,499,20460686
HSIC standardized multi-scale,0.140290115788218,0.606,7,null,N1_uniform_uniform,100,0,8,499,20460686
naive Euclidean-angle HSIC anti-example,0.00238118215943909,0.254,NA,null,N1_uniform_uniform,100,0,8,499,20460686
first-order trigonometric moment diagnostic,0.049815304664965,0.296,NA,null,N1_uniform_uniform,100,0,8,499,20460686
HSIC fixed,0.170927476240708,0.862,NA,null,N1_uniform_uniform,100,0,9,499,20460696
HSIC median,0.00113112276409486,0.84,NA,null,N1_uniform_uniform,100,0,9,499,20460696
HSIC standardized multi-scale,0.216335546521878,0.538,6,null,N1_uniform_uniform,100,0,9,499,20460696
naive Euclidean-angle HSIC anti-example,0.000816632806127063,0.83,NA,null,N1_uniform_uniform,100,0,9,499,20460696
first-order trigonometric moment diagnostic,0.019823472413842,0.758,NA,null,N1_uniform_uniform,100,0,9,499,20460696
HSIC fixed,0.377481755436321,0.086,NA,null,N1_uniform_uniform,100,0,10,499,20460706
HSIC median,0.0041178982229662,0.06,NA,null,N1_uniform_uniform,100,0,10,499,20460706
HSIC standardized multi-scale,1.33548240037239,0.2,7,null,N1_uniform_uniform,100,0,10,499,20460706
naive Euclidean-angle HSIC anti-example,0.00306275504333831,0.15,NA,null,N1_uniform_uniform,100,0,10,499,20460706
first-order trigonometric moment diagnostic,0.0930034920536656,0.064,NA,null,N1_uniform_uniform,100,0,10,499,20460706
HSIC fixed,0.169153436255358,0.856,NA,null,N1_uniform_uniform,100,0,11,499,20460716
HSIC median,0.000974603372722008,0.846,NA,null,N1_uniform_uniform,100,0,11,499,20460716
HSIC standardized multi-scale,0.689901465866984,0.376,7,null,N1_uniform_uniform,100,0,11,499,20460716
naive Euclidean-angle HSIC anti-example,0.00125635220917057,0.566,NA,null,N1_uniform_uniform,100,0,11,499,20460716
first-order trigonometric moment diagnostic,0.0150574391734426,0.832,NA,null,N1_uniform_uniform,100,0,11,499,20460716
HSIC fixed,0.242734250290155,0.534,NA,null,N1_uniform_uniform,100,0,12,499,20460726
HSIC median,0.00144084823871548,0.658,NA,null,N1_uniform_uniform,100,0,12,499,20460726
HSIC standardized multi-scale,1.54191740078345,0.128,7,null,N1_uniform_uniform,100,0,12,499,20460726
naive Euclidean-angle HSIC anti-example,0.00273268006393717,0.178,NA,null,N1_uniform_uniform,100,0,12,499,20460726
first-order trigonometric moment diagnostic,0.026757113022454,0.654,NA,null,N1_uniform_uniform,100,0,12,499,20460726
HSIC fixed,0.304234263773284,0.252,NA,null,N1_uniform_uniform,100,0,13,499,20460736
HSIC median,0.00348366162278513,0.136,NA,null,N1_uniform_uniform,100,0,13,499,20460736
HSIC standardized multi-scale,0.398676340465547,0.524,7,null,N1_uniform_uniform,100,0,13,499,20460736
naive Euclidean-angle HSIC anti-example,0.00267573405004369,0.188,NA,null,N1_uniform_uniform,100,0,13,499,20460736
first-order trigonometric moment diagnostic,0.0825234739498927,0.094,NA,null,N1_uniform_uniform,100,0,13,499,20460736
HSIC fixed,0.25758753452615,0.472,NA,null,N1_uniform_uniform,100,0,14,499,20460746
HSIC median,0.0024441441009869,0.322,NA,null,N1_uniform_uniform,100,0,14,499,20460746
HSIC standardized multi-scale,0.840160449992353,0.344,7,null,N1_uniform_uniform,100,0,14,499,20460746
naive Euclidean-angle HSIC anti-example,0.00227706047422957,0.304,NA,null,N1_uniform_uniform,100,0,14,499,20460746
