kind,scenario,n,effect,method,rejection_rate,R,mc_error,B,alpha,target_R,completed
alternative,A1_shift,100,1,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A1_shift,100,1,HSIC median,1,500,0,499,0.05,500,true
alternative,A1_shift,100,1,HSIC standardized multi-scale,0.986,500,0.005254331546,499,0.05,500,true
alternative,A1_shift,100,1,first-order trigonometric moment diagnostic,1,500,0,499,0.05,500,true
alternative,A1_shift,100,1,naive Euclidean-angle HSIC anti-example,0.994,500,0.003453693675,499,0.05,500,true
alternative,A1_shift,100,2,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A1_shift,100,2,HSIC median,1,500,0,499,0.05,500,true
alternative,A1_shift,100,2,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
alternative,A1_shift,100,2,first-order trigonometric moment diagnostic,1,500,0,499,0.05,500,true
alternative,A1_shift,100,2,naive Euclidean-angle HSIC anti-example,1,500,0,499,0.05,500,true
alternative,A1_shift,100,4,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A1_shift,100,4,HSIC median,1,500,0,499,0.05,500,true
alternative,A1_shift,100,4,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
alternative,A1_shift,100,4,first-order trigonometric moment diagnostic,1,500,0,499,0.05,500,true
alternative,A1_shift,100,4,naive Euclidean-angle HSIC anti-example,1,500,0,499,0.05,500,true
alternative,A1_shift,100,8,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A1_shift,100,8,HSIC median,1,500,0,499,0.05,500,true
alternative,A1_shift,100,8,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
alternative,A1_shift,100,8,first-order trigonometric moment diagnostic,1,500,0,499,0.05,500,true
alternative,A1_shift,100,8,naive Euclidean-angle HSIC anti-example,1,500,0,499,0.05,500,true
alternative,A1_shift,200,1,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A1_shift,200,1,HSIC median,1,500,0,499,0.05,500,true
alternative,A1_shift,200,1,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
alternative,A1_shift,200,1,first-order trigonometric moment diagnostic,1,500,0,499,0.05,500,true
alternative,A1_shift,200,1,naive Euclidean-angle HSIC anti-example,1,500,0,499,0.05,500,true
alternative,A1_shift,200,2,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A1_shift,200,2,HSIC median,1,500,0,499,0.05,500,true
alternative,A1_shift,200,2,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
alternative,A1_shift,200,2,first-order trigonometric moment diagnostic,1,500,0,499,0.05,500,true
alternative,A1_shift,200,2,naive Euclidean-angle HSIC anti-example,1,500,0,499,0.05,500,true
alternative,A1_shift,200,4,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A1_shift,200,4,HSIC median,1,500,0,499,0.05,500,true
alternative,A1_shift,200,4,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
alternative,A1_shift,200,4,first-order trigonometric moment diagnostic,1,500,0,499,0.05,500,true
alternative,A1_shift,200,4,naive Euclidean-angle HSIC anti-example,1,500,0,499,0.05,500,true
alternative,A1_shift,200,8,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A1_shift,200,8,HSIC median,1,500,0,499,0.05,500,true
alternative,A1_shift,200,8,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
alternative,A1_shift,200,8,first-order trigonometric moment diagnostic,1,500,0,499,0.05,500,true
alternative,A1_shift,200,8,naive Euclidean-angle HSIC anti-example,1,500,0,499,0.05,500,true
alternative,A1_shift,50,1,HSIC fixed,0.966,500,0.008104813385,499,0.05,500,true
alternative,A1_shift,50,1,HSIC median,0.974,500,0.007116740827,499,0.05,500,true
alternative,A1_shift,50,1,HSIC standardized multi-scale,0.642,500,0.02143996269,499,0.05,500,true
alternative,A1_shift,50,1,first-order trigonometric moment diagnostic,0.98,500,0.006260990337,499,0.05,500,true
alternative,A1_shift,50,1,naive Euclidean-angle HSIC anti-example,0.854,500,0.01579139006,499,0.05,500,true
alternative,A1_shift,50,2,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A1_shift,50,2,HSIC median,1,500,0,499,0.05,500,true
alternative,A1_shift,50,2,HSIC standardized multi-scale,0.994,500,0.003453693675,499,0.05,500,true
alternative,A1_shift,50,2,first-order trigonometric moment diagnostic,1,500,0,499,0.05,500,true
alternative,A1_shift,50,2,naive Euclidean-angle HSIC anti-example,1,500,0,499,0.05,500,true
alternative,A1_shift,50,4,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A1_shift,50,4,HSIC median,1,500,0,499,0.05,500,true
alternative,A1_shift,50,4,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
alternative,A1_shift,50,4,first-order trigonometric moment diagnostic,1,500,0,499,0.05,500,true
alternative,A1_shift,50,4,naive Euclidean-angle HSIC anti-example,1,500,0,499,0.05,500,true
alternative,A1_shift,50,8,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A1_shift,50,8,HSIC median,1,500,0,499,0.05,500,true
alternative,A1_shift,50,8,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
alternative,A1_shift,50,8,first-order trigonometric moment diagnostic,1,500,0,499,0.05,500,true
alternative,A1_shift,50,8,naive Euclidean-angle HSIC anti-example,1,500,0,499,0.05,500,true
alternative,A2_double_angle,100,1,HSIC fixed,0.978,500,0.006559878048,499,0.05,500,true
alternative,A2_double_angle,100,1,HSIC median,0.24,500,0.01909973822,499,0.05,500,true
alternative,A2_double_angle,100,1,HSIC standardized multi-scale,0.962,500,0.008550555538,499,0.05,500,true
alternative,A2_double_angle,100,1,first-order trigonometric moment diagnostic,0.026,500,0.007116740827,499,0.05,500,true
alternative,A2_double_angle,100,1,naive Euclidean-angle HSIC anti-example,0.228,500,0.01876251582,499,0.05,500,true
alternative,A2_double_angle,100,2,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A2_double_angle,100,2,HSIC median,0.93,500,0.01141052146,499,0.05,500,true
alternative,A2_double_angle,100,2,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
alternative,A2_double_angle,100,2,first-order trigonometric moment diagnostic,0.044,500,0.009172131704,499,0.05,500,true
alternative,A2_double_angle,100,2,naive Euclidean-angle HSIC anti-example,0.666,500,0.02109236829,499,0.05,500,true
alternative,A2_double_angle,100,4,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A2_double_angle,100,4,HSIC median,1,500,0,499,0.05,500,true
alternative,A2_double_angle,100,4,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
alternative,A2_double_angle,100,4,first-order trigonometric moment diagnostic,0.064,500,0.01094568408,499,0.05,500,true
alternative,A2_double_angle,100,4,naive Euclidean-angle HSIC anti-example,0.932,500,0.01125841907,499,0.05,500,true
alternative,A2_double_angle,100,8,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A2_double_angle,100,8,HSIC median,1,500,0,499,0.05,500,true
alternative,A2_double_angle,100,8,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
alternative,A2_double_angle,100,8,first-order trigonometric moment diagnostic,0.046,500,0.009368457717,499,0.05,500,true
alternative,A2_double_angle,100,8,naive Euclidean-angle HSIC anti-example,0.986,500,0.005254331546,499,0.05,500,true
alternative,A2_double_angle,200,1,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A2_double_angle,200,1,HSIC median,0.762,500,0.01904499934,499,0.05,500,true
alternative,A2_double_angle,200,1,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
