"kind","scenario","n","effect","kappa_theta","kappa_phi","method","rejection_rate","R","mc_error","B","alpha","target_R","completed"
"reduced_sensitivity","N1_uniform_uniform",100,0,0.5,0.5,"HSIC fixed-grid sensitivity",0.03,500,0.00762889244910426,499,0.05,500,TRUE
"reduced_sensitivity","A3_axial",100,8,0.5,0.5,"HSIC fixed-grid sensitivity",0.164,500,0.0165592270351004,499,0.05,500,TRUE
"reduced_sensitivity","A4_multimodal",100,8,0.5,0.5,"HSIC fixed-grid sensitivity",0.038,500,0.00855055553750749,499,0.05,500,TRUE
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,0.5,0.5,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","N1_uniform_uniform",100,0,1,0.5,"HSIC fixed-grid sensitivity",0.028,500,0.00737780455149091,499,0.05,500,TRUE
"reduced_sensitivity","A3_axial",100,8,1,0.5,"HSIC fixed-grid sensitivity",0.242,500,0.0191539029965174,499,0.05,500,TRUE
"reduced_sensitivity","A4_multimodal",100,8,1,0.5,"HSIC fixed-grid sensitivity",0.042,500,0.00897061870775924,499,0.05,500,TRUE
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,1,0.5,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","N1_uniform_uniform",100,0,2,0.5,"HSIC fixed-grid sensitivity",0.026,500,0.00711674082709213,499,0.05,500,TRUE
"reduced_sensitivity","A3_axial",100,8,2,0.5,"HSIC fixed-grid sensitivity",0.506,500,0.022359069748091,499,0.05,500,TRUE
"reduced_sensitivity","A4_multimodal",100,8,2,0.5,"HSIC fixed-grid sensitivity",0.05,500,0.00974679434480896,499,0.05,500,TRUE
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,2,0.5,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","N1_uniform_uniform",100,0,4,0.5,"HSIC fixed-grid sensitivity",0.028,500,0.00737780455149091,499,0.05,500,TRUE
"reduced_sensitivity","A3_axial",100,8,4,0.5,"HSIC fixed-grid sensitivity",0.73,500,0.0198544705293292,499,0.05,500,TRUE
"reduced_sensitivity","A4_multimodal",100,8,4,0.5,"HSIC fixed-grid sensitivity",0.056,500,0.0102824121683582,499,0.05,500,TRUE
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,4,0.5,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","N1_uniform_uniform",100,0,8,0.5,"HSIC fixed-grid sensitivity",0.038,500,0.00855055553750749,499,0.05,500,TRUE
"reduced_sensitivity","A3_axial",100,8,8,0.5,"HSIC fixed-grid sensitivity",0.776,500,0.0186453211289052,499,0.05,500,TRUE
"reduced_sensitivity","A4_multimodal",100,8,8,0.5,"HSIC fixed-grid sensitivity",0.06,500,0.0106207344378814,499,0.05,500,TRUE
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,8,0.5,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
